TesterBeanBBB.java,3,0,0,0
TesterBeanC.java,24,1,0,0
TestMethodExpressionImpl.java,388,1,3,1
TesterEnum.java,8,1,0,0
TesterBeanEnum.java,10,1,0,0
TesterBeanB.java,10,1,0,0
ValueExpressionLiteral.java,94,1,0,0
Constants.java,21,1,1,1
TestJspC.java,104,1,0,0
JspC.java,1091,2,0,0
JspCompilationContext.java,502,2,3,1
JasperException.java,13,1,0,0
TestJspCompilationContext.java,33,1,0,0
Options.java,40,1,0,0
EmbeddedServletOptions.java,449,3,0,0
AsyncFileHandler.java,112,2,0,0
VerbatimFormatter.java,11,1,0,0
FileHandler.java,225,4,0,0
ClassLoaderLogManager.java,488,3,0,0
OneLineFormatter.java,118,2,0,0
TestDateFormatCache.java,64,2,0,0
WebappProperties.java,6,1,0,0
DateFormatCache.java,112,4,0,0
JdkLoggerFormatter.java,46,10,0,0
TestClassLoaderLogManager.java,94,1,0,0
Constants.java,21,1,1,1
HandlerRef.java,70,2,0,0
TransactionRef.java,28,1,0,0
ResourceLinkRef.java,33,2,0,0
NamingEntry.java,27,1,0,0
ContextBindings.java,124,2,0,0
EjbRef.java,46,2,0,0
NameParserImpl.java,13,1,0,0
StringManager.java,108,2,0,0
ResourceRef.java,74,2,0,0
NamingContext.java,419,2,0,0
ServiceRef.java,96,2,0,0
ContextAccessController.java,39,1,0,0
NamingContextEnumeration.java,35,1,0,0
SelectorContext.java,262,1,0,0
JndiPermission.java,11,1,0,0
ResourceEnvRef.java,25,2,0,0
NamingContextBindingsEnumeration.java,62,1,0,0
InstanceManager.java,18,1,0,0
JarScannerCallback.java,10,1,0,0
InstrumentableClassLoader.java,7,1,0,0
PeriodicEventListener.java,4,1,0,0
JarScanFilter.java,4,1,0,0
JarScanner.java,8,1,0,0
JarScanType.java,6,0,0,0
SimpleInstanceManager.java,36,1,0,0
Async0.java,44,2,0,0
Async1.java,37,2,0,0
Async2.java,39,2,0,0
AsyncStockServlet.java,90,2,0,0
Stockticker.java,141,1,0,0
Async3.java,16,1,0,0
JAASMemoryLoginModule.java,184,3,0,0
JAASCallbackHandler.java,91,6,0,0
JAASRealm.java,301,3,0,0
GenericPrincipal.java,121,1,0,0
SpnegoAuthenticator.java,250,2,0,0
JAASMemoryLoginModule.java,184,3,0,0
JAASRealm.java,301,3,0,0
JAASMemoryLoginModule.java,184,3,0,0
MapDemo.java,390,2,0,0
DrawMessage.java,178,1,0,0
Room.java,213,1,0,0
AnnotationElementValue.java,24,1,0,0
Annotations.java,17,1,0,0
ConstantInteger.java,14,1,0,0
ElementValue.java,81,5,0,0
ConstantFloat.java,14,1,0,0
ClassParser.java,113,2,0,0
ConstantLong.java,14,1,0,0
AnnotationEntry.java,27,1,0,0
ClassFormatException.java,10,1,0,0
ConstantUtf8.java,20,1,0,0
Constant.java,54,4,0,0
ConstantDouble.java,14,1,0,0
ConstantPool.java,39,3,0,0
Utility.java,39,1,0,0
JavaClass.java,35,1,0,0
ElementValuePair.java,25,1,0,0
EnumElementValue.java,20,1,0,0
ConstantClass.java,14,1,0,0
ArrayElementValue.java,33,2,0,0
ClassElementValue.java,17,1,0,0
SimpleElementValue.java,64,4,0,0
FastQueue.java,148,2,0,0
LinkObject.java,43,1,0,0
SingleRemoveSynchronizedAddLock.java,93,1,0,0
Entries.java,34,1,0,0
Entry.java,27,1,0,0
JspCalendar.java,95,1,0,0
TableBean.java,65,1,0,0
AbstractCatalinaCommandTask.java,40,1,0,0
JKStatusUpdateTask.java,223,1,0,0
AbstractCatalinaTask.java,164,2,0,0
ServerinfoTask.java,9,1,0,0
ReloadTask.java,9,1,0,0
JMXSetTask.java,46,1,0,0
FindLeaksTask.java,16,1,0,0
BaseRedirectorHelperTask.java,145,1,0,0
ResourcesTask.java,28,1,0,0
DeployTask.java,109,2,0,0
ValidatorTask.java,54,2,0,0
SslConnectorCiphersTask.java,9,1,0,0
SessionsTask.java,25,1,0,0
StartTask.java,9,1,0,0
VminfoTask.java,9,1,0,0
StopTask.java,9,1,0,0
ListTask.java,9,1,0,0
JMXGetTask.java,37,1,0,0
ThreaddumpTask.java,9,1,0,0
JMXQueryTask.java,30,1,0,0
UndeployTask.java,9,1,0,0
AuthenticatorBase.java,501,3,0,0
SavedRequest.java,84,1,0,0
