@RELATION tomcat

@ATTRIBUTE filename		numeric
@ATTRIBUTE codelines	numeric
@ATTRIBUTE cyclomatic	numeric
@ATTRIBUTE isbug		{0, 1}

@data
-1997529661,17,1,0
-167094731,73,1,0
2145393235,1892,2,0
249381183,82,1,0
-1687548757,21,1,0
-641842085,452,1,0
478711120,395,1,0
1534229888,83,2,0
177981116,335,2,0
-900069384,62,1,0
-1747202332,90,1,0
-1937575892,263,1,0
417822029,21,1,1
1470939115,110,3,0
1728747964,102,2,0
-118105445,603,1,0
1418001093,180,1,0
-1158304317,52,1,0
1150880608,355,2,0
-2003305384,281,1,0
-1484073757,180,1,0
